file_name,extension,data_type,location_tag,latitude,longitude,date,time,device,duration,file_size
MEIL-01_20250630_220925_ss000000.wav,.wav,audio,MagongAnshanPagoda,23.556574,119.574373,2025-06-30,22:09:25,,00:00:20.053,3.9 MB
MEIL-01_20250615_134956_ss001449.wav,.wav,audio,AimenWaterReservoir,23.5567305,119.6344665,2025-06-15,13:49:56,,00:00:20.053,3.9 MB
MEIL-01_20250721_070844_ss002213.wav,.wav,audio,ShanshuiVillageQuanshanTangTemple,23.512383,119.597364,2025-07-21,07:08:44,,00:00:20.053,3.9 MB
MEIL03_20250807_225039_ss005938.wav,.wav,audio,BaishaTongliangBaoanGong,23.656876,119.557356,2025-08-07,22:50:39,,00:00:19.987,3.5 MB
MEIL03_20250731_113703_ss004442.wav,.wav,audio,XianVillageYouquanzhaiHostelFront,23.35746,119.498507,2025-07-31,11:37:03,,00:00:19.969,3.5 MB
MEIL-01_20250615_194851_ss002938.wav,.wav,audio,AimenWaterReservoir,23.5567305,119.6344665,2025-06-15,19:48:51,,00:00:19.995,3.8 MB
MEIL-01_20250721_070844_ss000000.wav,.wav,audio,ShanshuiVillageQuanshanTangTemple,23.512383,119.597364,2025-07-21,07:08:44,,00:00:20.053,3.9 MB
MEIL-01_20250630_140925_ss001449.wav,.wav,audio,MagongAnshanPagoda,23.556574,119.574373,2025-06-30,14:09:25,,00:00:20.053,3.9 MB
MEIL-01_20250704_193647_ss000724.wav,.wav,audio,TaiwuWaterTower,23.572101,119.637462,2025-07-04,19:36:47,,00:00:20.053,3.9 MB
normalized_250801-075537_ss000243.WAV,.WAV,audio,JiangjunVillageYonganGong,23.362703,119.522238,2025-08-01,07:55:37,ZOOM H1essential,00:00:20.053,15.4 MB
MEIL-01_20250802_024512_ss002213.wav,.wav,audio,XianVillageYouquanzhaiHostelRear,23.357465,119.498717,2025-08-02,02:45:12,,00:00:20.053,3.9 MB
normalized_250801-075537_ss000121.WAV,.WAV,audio,JiangjunVillageYonganGong,23.362703,119.522238,2025-08-01,07:55:37,ZOOM H1essential,00:00:20.053,15.4 MB
MEIL-01_20250802_024512_ss000000.wav,.wav,audio,XianVillageYouquanzhaiHostelRear,23.357465,119.498717,2025-08-02,02:45:12,,00:00:20.053,3.9 MB
MEIL03_20250810_045009_ss002949.wav,.wav,audio,BaishaTongliangBaoanGong,23.656876,119.557356,2025-08-10,04:50:09,,00:00:19.969,3.5 MB
MEIL-01_20250617_200150_ss001449.wav,.wav,audio,MagongErduoLuChunHuiYuanPark,23.577842,119.573583,2025-06-17,20:01:50,,00:00:20.053,3.9 MB
MEIL-01_20250624_021818_ss000000.wav,.wav,audio,AimenSanShengDianTemple,23.561718,119.636675,2025-06-24,02:18:18,,00:00:20.053,3.9 MB
